,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,JyGNg8a6V6E,Jonna Jinton,A Tour in my New house,"I'm so happy to finally share with you about this project I've been working on lately. It's a dream coming true and something I'm sure will bring a lot of new energy and inspiration into my future videos and creative projects.

It's still a lot of work until I can move in, but the thought of me working from my new art studio in the late spring/early summer makes my heart tingle of happiness. I'm so grateful that I get to make this dream come true. I look forward to make a lot of beautiful things in my new creative space that I will get to share with all of you. 

Thank you for being part of this journey and for your love and support! 
I'm sending you an abundance of hugs and positive vibes, where ever you are in this world ♥

► The video when I received the Scholarship: https://youtu.be/gIZyquWzGSc

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
The songs I use can be found here: http://share.epidemicsound.com/pR9G6
Memories Unfold - David Celeste
The wind in her hair - David Celeste
Walk Tall - Johannes Bornlöf
Frozen Tears - Calm Shores
Nostalgique - Martin Hall
Another World 19 - Johan Hynynen
Fables - Nick Box (musicbed)
Heart Hold on - Max Anson
Flourish - Roary (musicbed)
Calm heart wild river - Sad Moses (Musicbed)
Light in your hand - Sad Moses (Musicbed)
Windy Eyes - Sad Moses (Musicbed)
Luna - Ebb & Flow
Time without end - Spectacles wallet and watch
MB01LLOV3YGNG9T","['jonna', 'jinton', 'jonna jinton', 'sweden', 'swedish', 'house', 'housetour', 'tour', 'cottage', 'cabin', 'homestead', 'rural life', 'forest', 'wilderness', 'scandinavia', 'lifestyle', 'village', 'forest life', 'new house', 'nordic', 'nordic lifestyle', 'north', 'creative', 'artist', 'studio', 'art studio', 'artist place', 'creative room', 'working place', 'workplace', 'art studio old', 'old house', 'old cottage', 'wood', 'wood working cabin', 'swedish house', 'swedish living', 'sweden life', 'move to sweden', 'tiny homestead', 'old homestead', 'small homestead']",2023-02-26T14:56:53Z,412017,34878,,2842,PT31M55S,hd,true
1,UT-Qov45btc,Jonna Jinton,An evening Ice bath,"Some scenes from a beautiful november evening, when taking a refreshing ice bath.
In the beginning of winter the ice isn't too thick yet so it is very easy to use the ice saw to make a hole. Later in the winter the ice can be 1 meter thick and it then takes a lot of time and effort to create the ice holes.

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/","['Ice bath', 'Ice', 'Ice swim', 'Polar plunge', 'Wim hof method', 'Jonna jinton', 'Sweden', 'Nordic', 'North', 'Ice water', 'Cold swim', 'Cold water']",2023-02-17T18:14:04Z,67207,8037,,281,PT1M1S,hd,false
2,Rou2dBFdwtI,Jonna Jinton,The Nordic herdingcall - kulning,"This is the very first video I recorded of myself doing ""kulning"", which is an ancient Nordic herding call. I had just started learning it as I did this video, back in 2015. 
You can find the original video of this on my Youtube channel, and many other videos of with kulning and herding calls. 

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/","['kulning', 'herding call', 'nordic', 'viking', 'north', 'song', 'chant', 'calling', 'kula', 'viking song', 'ancient', 'ancient song', 'singing', 'voice', 'voice technique', 'swedish', 'magical', 'mystical', 'swedish forest', 'wild', 'wilderness', 'scandinavia', 'sweden', 'norway', 'finland', 'kauke', 'the song', 'the wolf song', 'wolf', 'jonna', 'jinton', 'jonna jinton']",2023-02-14T16:51:46Z,115571,13805,,339,PT26S,hd,false
3,clAixnv4OM8,Jonna Jinton,Daily life by the Mystic Forest | Winter in Sweden,"I'm so happy to be back with a video from my daily life here in the North. We are now in February and the winter is still at it's peak, but the light is slowly coming back to us now. 
I recorded this video last week and it contains a little bit of everything. Everyday life and work and beautiful winter days. I also started the project of recording sounds every night in the ""creepy forest"", which is the forest just behind our homestead, and which has been a mystic place ever since we moved here. 

I also talk a bit about the BEAUTIFUL response I/we got on the previous video with all the messaged from people all around the world. From the bottom of my heart, thank you everyone! ♥
If you haven't seen the video you can find it here:

► My most important video: https://youtu.be/HsKWoCJ3eq4

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
We carry on - Yonder Dale
Spiral Dynamic - Lama House
Appeased Soundscape 03 - August Wilhelmsson
Bookmarks - Ever so blue
The beginning - Gavin Luke
Light in your hand- Sad Moses (Musicbed)
Cause - Infinity ripple
Morning Fields - Adam Bokesch (Musicbed)
Airplane Instrumental - Moony (musicbed)
Starry night - Jordan Critz
All around us - Amaranth Cove
Purple dream - Silver Maple
Overlook - Roary (Musicbed)
Another World 19 - Johan Hynynen

MB01NSWN3BS2X4Z","['jonna', 'jinton', 'jonna jinton', 'sweden', 'swedish', 'north', 'nordic', 'winter', 'winter in sweden', 'nordic winter', 'winter landscape', 'winter magic', 'mystic', 'mystic forest', 'mystic sounds', 'creepy forest', 'nordic life', 'rural life', 'rural living', 'village', 'scandinavia', 'norway', 'finland', 'cold', 'cold winter']",2023-02-10T15:18:43Z,522373,38580,,3643,PT38M50S,hd,true
4,fCEmBAHV02k,Jonna Jinton,Fullmoon over my home,"The last view of the fullmoon early this morning, framed in a soft pink sky that took my breath away.

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/",,2023-02-06T17:28:49Z,77590,12665,,305,PT19S,hd,false
5,Jkz-8fi8EBA,Jonna Jinton,Expectation vs reality,"This is more true than you can imagine 🙈
Can anyone relate? 😂

Funny song is by: @ManonMathews 

Intro song:
Magical Garden - Jon Algar

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/","['expectation vs reality', 'expectationvsreality', 'instavsreality', 'winterwonderland', 'nordic', 'north', 'sweden', 'cold', 'winter fashion', 'winter clothes', 'funny', 'rural', 'dance', 'funny dance', 'expectations', 'winterfashion', 'scandinavia', 'north living', 'rural living', 'simple life']",2023-02-05T14:41:31Z,96173,10931,,415,PT16S,hd,false
6,HsKWoCJ3eq4,Jonna Jinton,A Message that will Change Your Life,"If I could only leave one video behind me after my time on this earth, I would choose this one. Because I believe that every human on this earth can at least find one message in this video that goes right through their barriers and reaches the soul. 
This video contains everything that I've ever wished to share and give through my videos/music/art.
It opens our hearts and give us space to heal. Because it makes us understand that we are not alone in this world. We are not as different from each other that we might think.

Together we have the power to create a more loving, peaceful world through compassion and understanding. And watching this video at least make me feel like a wave of hope and light.

I've cried rivers while editing this video. Just working on this video has been like a healing journey for me. I feel so deeply grateful in a way that I could never express in words.
From the bottom of my heart, THANK YOU everyone who contributed to creating this video. It's been an impossible mission to go through every single video, and I wish I could fit all of your videos in here. But please know, that I am so grateful for every single message. And I will continue to share your videos in the end of my future vlogs. So even if your video could not fit into this video, it might be shared later on :)

To all of you who are here watching this video, THANK YOU! I hope it can bring you inspiration, hope, strength and positive energy for this new year ahead of us ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
Tristan Barton - The racer
Daydream in A for piano - Eric Kinny
Greatest Love - Generdyn 
Searching for eternal - Christian Wade
All I wanted - Votageur
Light in your hand - Sad Moses
Simple Gestures - Yonder Dale
First love Instrumental - Jonathan David Melissa Helser
Fathers land - Jordan Critz
Tenderness - Tony Andersson
Flö - Jordan Critz

MB01ONWWWMRRYEW","['jonna', 'jinton', 'jonna jinton', 'sweden', 'nordic', 'north', 'north sweden', 'nature', '4 million video', 'most important video', 'motivation', 'inspiration', 'rural', 'lifestyle', 'swedish', 'scandinavia', 'forest', 'nature living', 'rural living', 'subscribers video', 'message', 'messages', 'important message', 'message for subscribers', 'viewers', 'from my heart', 'heart message', 'heart coherence', 'healing']",2023-01-29T15:10:09Z,1291407,103231,,11069,PT52M56S,hd,true
7,0sJRwgOMWhg,Jonna Jinton,This sound is like massage for the ears 😍 A cold winter walk,,,2023-01-11T15:38:53Z,86950,8229,,285,PT10S,hd,false
8,LlmAUR_chUs,Jonna Jinton,My last video of the year,"Happy New Year to all of you beautiful people out there! 
Thank you for watching my videos this year and for all the love and light you've spread in this community. You make this world a better place, and I'm so grateful that I get to live on this earth at the same time as you.

Sending you tons of love and I wish you the happiest of New Years! ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/","['jonna', 'jinton', 'jonna jinton', 'sweden', 'nordic', 'north', 'scandinavia', 'village', 'rural', 'rural lifestyle', 'countryside', 'wilderness', 'winter', 'new year', 'new year message', 'motivation', 'inspiration', 'swedish', 'swedish lifestyle', 'nature']",2022-12-31T12:37:34Z,323876,39119,,3598,PT1M34S,hd,true
9,_ZcEUXtcMCw,Jonna Jinton,A Salutation to Light in the Darkest of Nights,"In December we are in the midst of the darkest time of the year here in Sweden. The sun barely reaches above the treetops and the evenings feels never ending. Ever since I was a child I have loved the Lucia day on Dec 13,  where we celebrate the light in the darkness, with candles and singing.

And since many years back, I have done my own little twist on this lucia celebration, and lighted candles in the forest.
It is truly one of the traditions I love the most, and the message of bringing light into the darkness can be so healing on many levels. 

""There is no darkness so dense, so menacing, or so difficult that it cannot be overcome by light.""
- Vern P Stanfill

I wish all of you a good ending of this year. Thank you for being here on this channel and for watching my videos, and commenting from your heart. I'm so grateful to you all ♥

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/

► MUSIC
Ardie Son - O come, O come, Emmanuel (Artlist)
Forndom - Hemkomst ( www.forndom.com)

Lyrics:
Til árs ok friðar
Bort flyr mörker ljuset bidar,
Fé, fé, fé.

English translation of lyrics:
For a good year and frith
Begone darkness, light awaits.
Fortune, fortune, fortune.","['lucia', 'lucia 2022', 'jonna', 'jinton', 'jonna jinton', 'lucia night', 'lucia morgon', 'candles', 'sweden', 'swedish', 'tradition', 'winter', 'nordic', 'north', 'winter sweden']",2022-12-13T05:41:42Z,410777,35894,,2053,PT4M8S,hd,false
10,XO--chkQ_9w,Jonna Jinton,Be like the Bison | Walk through the storms,"This video is about the meaning behind the words ""Be like the Bison"" and why it means so much to me, and why I chose to create jewelry with these words engraved. 
I first shared about these words in an earlier video that I made almost 2 years ago, I have linked it down below if you would like to watch it.
► https://www.youtube.com/watch?v=g7ev29b9sqM

After I shared that video a lot of people found strength in those words just as I did. And then I got the idea to make myself a necklace with those words engraved, since they had helped me so much. And that's how the idea for these designs came, which I created together with my mother Anita and my husband Johan. 

This specific video was first made for my webshop, since I wanted to have an explanation to these bison jewelry designs on the product page. But then I thought I wanted to publish it as a video on YouTube as well, since I think these motivational words deserve an own video.
I know there is plenty of people out there who also can find a lot of strength in these words. 
And you don't need any jewelry at all to get the power from these words. Carrying them in your heart is way more powerful. The jewelry is just a bonus and something I wanted to create just to have as a beautiful accessory with a reminder of this message. 
Our mindset can really change everything in our lives. It's beautiful how just a few words can be really transformative for how we confront life, if you choose to charge them with that power you have within you ♥

Thank you so much for watching this video. I hope the video can be a reminder that you are stronger than you think, and that you will get through any storm that comes your way ♥

And I will forever be grateful to Jesper Westmark ( @jesperwestmark on Instagram) for sharing these words with me on the meditation retreat April 2021. 

► MY SOCIAL MEDIA AND LINKS
• My Art & Jewelry Webshop: https://jonnajintonsweden.com
• Instagram: @jonnajinton  http://www.instagram.com/jonnajinton
• Wallpaper collection: https://www.photowall.com/designers/jonna-jinton
• Facebook Page - http://www.facebook.com/jonnajinton
• Blog: https://jonnajintonsweden.com/blog/


MB01CE188U3YFZB",,2022-12-06T18:27:42Z,300683,30144,,1915,PT2M54S,hd,true
